session_id,user_id,page_path,duration_seconds,converted,timestamp
6fff15cc-b2dc-4c34-8f67-448e10eceb1f,,/shop/rv,177,False,2025-10-08 04:37:18.807595
3e9639ba-0ed2-4c9d-bd17-5712d8b22277,,/home,347,False,2025-02-15 01:42:09.518661
9cbf7b8c-7410-4d5d-9db1-4bfc6f3a5115,,/cart,579,False,2025-08-24 22:51:38.454762
a8761e85-bddf-403a-aa84-30f84f2da233,,/shop/rv,595,False,2025-10-12 02:24:49.659890
23204ff5-b538-496c-833e-02f71e93d127,,/home,543,False,2025-09-27 19:09:33.035494
58c1aad6-f3f8-4ea4-bf14-eafa29f0ef7c,,/cart,581,False,2025-07-24 14:31:17.158205
425e0259-b884-46d2-928f-cf68c871d7b3,153.0,/cart,53,False,2025-03-16 13:32:20.867229
df9b141e-c7f7-4da1-bff1-5840207e863f,164.0,/shop/rv,457,False,2025-04-22 17:54:24.943792
e65fad87-c57c-4498-9e38-f711e2ec13f4,42.0,/shop/camping,49,False,2025-01-25 07:18:42.468210
861b4f5b-45a0-4539-ade8-370ace9e9ebd,,/shop/camping,597,False,2025-02-06 21:52:06.498554
a0a5fde6-939f-41a2-b99c-ea5cb65ad0f1,,/home,182,False,2025-02-11 17:33:33.630816
0e3141ec-5c31-4464-82c2-99f07487d772,,/checkout,481,False,2025-07-16 01:26:36.054770
28457780-5e20-4957-aab8-bd33911f730b,,/cart,467,False,2025-04-17 18:16:05.818705
ac93281a-92eb-4ab0-a4ee-c67c1a57f9e4,,/shop/camping,224,False,2025-10-05 13:41:01.313554
00a85473-8242-4912-bda3-c1623a78b64a,,/cart,252,False,2025-01-30 16:00:27.613485
0bc57207-3e9a-4c86-8325-4fbddce8e1c5,58.0,/shop/rv,425,False,2025-07-05 21:21:25.607453
2dd0622e-266b-42ea-ab93-f78c620af158,,/checkout,405,False,2025-12-20 16:18:27.728589
cd98f9e2-8d88-4beb-890d-9655db842660,16.0,/shop/rv,578,False,2025-12-14 09:25:40.324893
3979d5f5-6b5b-4975-a7dc-2bc0bd9c4693,,/shop/rv,225,False,2025-05-12 02:49:16.214963
51e744e4-b864-4a08-aa75-752d6a8fcacb,,/shop/rv,134,False,2025-04-23 15:45:50.768815
1e910f36-5f70-4b25-9250-2e5913f06822,156.0,/blog/camping-tips,126,False,2025-07-16 22:45:08.485544
3922a7e4-2de9-42f8-8d7b-ec04e6e59b32,,/shop/camping,146,False,2025-11-04 08:36:57.534823
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,,/shop/rv,74,False,2025-02-08 18:10:28.400215
c605e58a-4845-4343-9db4-49dc77106966,33.0,/shop/rv,30,False,2025-11-19 03:42:13.095498
74ed5145-8d97-45c7-961d-5c8753c9fe59,169.0,/cart,445,False,2025-01-17 11:50:16.106091
c8d57717-9055-436f-8aa5-f9d3335f2f59,,/shop/rv,592,False,2025-05-05 13:58:40.777402
5e472e22-76c3-4642-be19-fc1d9f6a6a65,,/blog/camping-tips,553,False,2025-08-18 16:36:09.628909
c6a07656-c5c9-4b91-bf6e-f9ed7e4ce29f,,/home,346,False,2025-03-26 23:00:28.838635
cbc4ec0e-c2ae-4674-8beb-4e78e68373a3,,/checkout,575,True,2025-04-14 02:42:19.061207
061efb95-68f8-4063-aeb1-9ad201a1fb0f,,/shop/camping,209,False,2025-04-09 16:23:03.228464
b186a5a8-d6ee-426b-a2cd-159058af393c,,/cart,342,False,2025-11-30 23:17:40.089503
c2492e5e-005f-40e6-95c3-b2dbf374190d,,/shop/camping,69,False,2025-09-11 15:44:59.071788
4eb9047d-ba2a-43d9-bcf2-fc3bd95874c2,,/checkout,468,False,2025-02-21 13:10:26.761136
6b790d01-3cf8-4d20-bbad-793f87a1ec02,57.0,/checkout,408,False,2025-07-13 06:59:20.371129
247296a4-ff38-4918-b8f9-a45d0f554896,,/checkout,200,False,2025-10-01 12:09:24.267858
3b41c943-ebd8-43b1-8b3d-0c3617d09810,,/blog/camping-tips,286,False,2025-12-08 07:23:18.867848
e5449887-b36a-43ed-a9be-173a850ef0ad,,/blog/camping-tips,593,False,2025-05-30 15:09:25.887975
94ad6252-15bc-4a3e-bf76-55d7f97c6c3c,135.0,/shop/rv,547,False,2025-02-18 11:47:13.325103
64f434d6-d1e9-4691-a320-9116222df6a4,,/home,364,False,2025-02-10 21:55:40.838750
a995ecc3-6f5b-49a6-8ff1-c51f915cb31b,,/shop/rv,107,False,2026-01-01 18:05:16.542117
d9d57b02-42d0-4d55-8aab-47b23c9d128a,,/checkout,437,True,2025-05-09 15:16:28.181232
d4f76322-b362-40d2-a498-8bdecd0254db,6.0,/checkout,102,True,2025-10-10 03:54:31.347008
3bcdf203-459e-4674-b3e7-f042516c3b0a,102.0,/shop/camping,149,False,2025-02-10 20:40:26.694136
c5285425-c7a9-433c-a2d8-39d333e4f986,191.0,/blog/camping-tips,117,False,2025-08-16 03:23:32.122949
7316ce64-2a14-4a96-9b0c-62eb27c8fc6c,36.0,/checkout,572,False,2025-07-03 19:18:33.144614
5bb8b9c8-8932-49f3-9ee8-9a4c681134e2,,/shop/camping,278,False,2026-01-01 21:44:18.266484
769de1e3-4eed-4124-b3b0-d6763527a5c8,,/shop/camping,319,False,2025-04-21 08:58:40.187555
cebeabaa-2859-4b34-9725-d2c71eb2a7b8,,/cart,572,False,2025-09-22 03:46:26.560511
9a72083c-b266-486c-b467-88bdd38e13e4,,/checkout,319,True,2025-01-29 07:30:12.107416
25f88c74-53ea-4919-9b48-62c2d5ff2a1f,84.0,/home,240,False,2025-02-16 21:31:56.524737
657046ea-5b11-451f-b7e9-101d3f8b4433,,/checkout,266,True,2025-07-21 02:50:46.422572
d1f16485-429a-4a7c-8c80-d33aad5be3c8,,/shop/camping,173,False,2026-01-11 10:00:55.571584
dac726b6-6786-4fb3-b3bc-9a7107f4fee5,,/home,160,False,2025-06-28 17:52:07.921681
183fea70-3ff6-479e-8cd4-b90abf8211bc,152.0,/shop/rv,147,False,2025-07-02 08:08:31.825370
1f178f93-23c9-4a1e-8b37-1d97cdcc2d6a,173.0,/shop/camping,127,False,2025-01-18 22:47:36.467829
38e7e019-fb89-46c8-87ec-fe71d49347fc,,/shop/camping,415,False,2025-03-03 07:48:01.242352
